Period,Collections,A Interest Due,A Interest Paid,A Interest Shortfall,B Interest Due,B Interest Paid,B Interest Shortfall,A Prin Due,A Prin Paid,A Prin Shortfall,Cash Reserve,B Prin Due,B Prin Paid,B Prin Shortfall,A Balance,B Balance,Cash Reserve
15,93522.83043570667,30056.127959692505,30056.127959692505,0,12608.560280933334,12608.560280933334,0,49192.19897008221,49192.19897008221,0,32093.259300786514,0.0,0.0,0,2355298.0378053184,756513.6168559999,32093.259300786514
16,93522.83043570667,29441.22547256648,29441.22547256648,0,12608.560280933334,12608.560280933334,0,49880.51789552123,49880.51789552123,0,33685.78608747214,0.0,0.0,0,2305417.5199097972,756513.6168559999,33685.78608747214
17,93522.83043570667,28817.718998872468,28817.718998872468,0,12608.560280933334,12608.560280933334,0,50578.59298818376,50578.59298818376,0,35203.74425518924,0.0,0.0,0,2254838.9269216135,756513.6168559999,35203.74425518924
18,93522.83043570667,28185.48658652017,28185.48658652017,0,12608.560280933334,12608.560280933334,0,51286.56422797517,51286.56422797517,0,36645.963595467234,0.0,0.0,0,2203552.3626936385,756513.6168559999,36645.963595467234
19,93522.83043570667,27544.404533670484,27544.404533670484,0,12608.560280933334,12608.560280933334,0,52004.573626362304,52004.573626362304,0,38011.255590207766,0.0,0.0,0,2151547.7890672763,756513.6168559999,38011.255590207766
20,93522.83043570667,26894.347363340956,26894.347363340956,0,12608.560280933334,12608.560280933334,0,52732.76525617546,52732.76525617546,0,39298.413125464685,0.0,0.0,0,2098815.023811101,756513.6168559999,39298.413125464685
21,93522.83043570667,26235.187797638762,26235.187797638762,0,12608.560280933334,12608.560280933334,0,53471.28528185203,53471.28528185203,0,40506.21020074721,0.0,0.0,0,2045343.7385292489,756513.6168559999,40506.21020074721
22,93522.83043570667,25566.79673161561,25566.79673161561,0,12608.560280933334,12608.560280933334,0,54220.2819901278,54220.2819901278,0,41633.401633777146,0.0,0.0,0,1991123.456539121,756513.6168559999,41633.401633777146
23,93522.83043570667,24889.04320673901,24889.04320673901,0,12608.560280933334,12608.560280933334,0,54979.90582118361,54979.90582118361,0,42678.72276062786,0.0,0.0,0,1936143.5507179373,756513.6168559999,42678.72276062786
24,93522.83043570667,24201.79438397422,24201.79438397422,0,12608.560280933334,12608.560280933334,0,55750.3094002534,55750.3094002534,0,43640.88913117356,0.0,0.0,0,1880393.2413176838,756513.6168559999,43640.88913117356
25,93522.83043570667,23504.91551647105,23504.91551647105,0,12608.560280933334,12608.560280933334,0,56531.64756970088,56531.64756970088,0,44518.59619977496,0.0,0.0,0,1823861.593747983,756513.6168559999,44518.59619977496
26,93522.83043570667,22798.269921849787,22798.269921849787,0,12608.560280933334,12608.560280933334,0,57324.0774215718,57324.0774215718,0,45310.5190111267,0.0,0.0,0,1766537.5163264112,756513.6168559999,45310.5190111267
27,93522.83043570667,22081.718954080137,22081.718954080137,0,12608.560280933334,12608.560280933334,0,58127.75833062889,58127.75833062889,0,46015.31188119101,0.0,0.0,0,1708409.7579957822,756513.6168559999,46015.31188119101
28,93522.83043570667,21355.121974947277,21355.121974947277,0,12608.560280933334,12608.560280933334,0,58942.85198787659,58942.85198787659,0,46631.60807314049,0.0,0.0,0,1649466.9060079055,756513.6168559999,46631.60807314049
