Period,Recoveries,TotalCollections(+ Reco + Reserve),A Interest Due,A Interest Paid,A Interest Shortfall,B Interest Due,B Interest Paid,B Interest Shortfall,A Prin Due,A Prin Paid,A Prin Shortfall,Cash Reserve,B Prin Due,B Prin Paid,B Prin Shortfall,A Balance,B Balance,Cash Reserve
40,0,507401.13527264306,9860.12269975201,9860.12269975201,0,9456.420210699998,9456.420210699998,0,66945.37040156877,66945.37040156877,0,421139.2219606223,0.0,0.0,0,919066.8995736323,756513.6168559999,421139.2219606223
41,0,511181.97010912834,9190.668995736321,9190.668995736321,0,9456.420210699998,9456.420210699998,0,67888.45110309919,67888.45110309919,0,424646.4297995927,0.0,0.0,0,851178.4484705331,756513.6168559999,424646.4297995927
42,0,514689.17794809875,8511.784484705331,8511.784484705331,0,9456.420210699998,9456.420210699998,0,68844.98714588388,68844.98714588388,0,427875.98610680946,0.0,0.0,0,782333.4613246493,756513.6168559999,427875.98610680946
43,0,517918.7342553155,7823.334613246493,7823.334613246493,0,9456.420210699998,9456.420210699998,0,69815.17281461277,69815.17281461277,0,430823.80661675613,0.0,0.0,0,712518.2885100365,756513.6168559999,430823.80661675613
44,0,520866.5547652621,7125.182885100366,7125.182885100366,0,9456.420210699998,9456.420210699998,0,70799.20523088469,70799.20523088469,0,433485.7464385771,0.0,0.0,0,641719.0832791518,756513.6168559999,433485.7464385771
45,8083.145669999999,531190.1330883915,6417.190832791518,6417.190832791518,0,9456.420210699998,9456.420210699998,0,71480.16530678057,71480.16530678057,0,443836.3567381194,0.0,0.0,0,570238.9179723712,756513.6168559999,443836.3567381194
46,11025.316367999998,543851.4161037914,5702.389179723712,5702.389179723712,0,9456.420210699998,9456.420210699998,0,71965.78674715215,71965.78674715215,0,456726.8199662156,0.0,0.0,0,498273.13122521905,756513.6168559999,456726.8199662156
47,8167.709375999999,553481.357007606,4982.731312252191,4982.731312252191,0,9456.420210699998,9456.420210699998,0,72645.60717607639,72645.60717607639,0,466396.5983085773,0.0,0.0,0,425627.52404914267,756513.6168559999,466396.5983085773
48,0,554983.4259739676,4256.275240491426,4256.275240491426,0,9456.420210699998,9456.420210699998,0,73669.41982437197,73669.41982437197,0,467601.31069840427,0.0,0.0,0,351958.1042247707,756513.6168559999,467601.31069840427
49,0,556188.1383637947,3519.5810422477066,3519.5810422477066,0,9456.420210699998,9456.420210699998,0,74707.84530184866,74707.84530184866,0,468504.29180899827,0.0,0.0,0,277250.258922922,756513.6168559999,468504.29180899827
50,0,557091.1194743887,2772.50258922922,2772.50258922922,0,9456.420210699998,9456.420210699998,0,75761.09468159625,75761.09468159625,0,469101.1019928631,0.0,0.0,0,201489.16424132575,756513.6168559999,469101.1019928631
51,7688.761812,562547.4564708868,2014.8916424132574,2014.8916424132574,0,9456.420210699998,9456.420210699998,0,74081.70908191014,74081.70908191014,0,476994.43553586345,0.0,0.0,0,127407.45515941561,756513.6168559999,476994.43553586345
52,0,560274.7248650928,1274.074551594156,1274.074551594156,0,9456.420210699998,9456.420210699998,0,72649.5440606391,72649.5440606391,0,476894.68604215933,0.0,0.0,0,54757.9110987765,756513.6168559999,476894.68604215933
53,5453.967941399999,562144.416266889,547.5791109877649,547.5791109877649,0,9456.420210699998,9456.420210699998,0,54757.9110987765,54757.9110987765,0,497382.5058464247,15446.673620361238,15446.673620361238,0,0.0,741066.9432356387,481935.8322260635
54,6918.124607999999,563721.07103559,0.0,0.0,0,9263.336790445483,9263.336790445483,0,0.0,0.0,0,554457.7342451445,66334.8240805365,66334.8240805365,0,0.0,674732.1191551022,488122.91016460804
55,7826.849748,565575.0125334511,0.0,0.0,0,8434.151489438776,8434.151489438776,0,0.0,0.0,0,557140.8610440124,62076.978907090794,62076.978907090794,0,0.0,612655.1402480113,495063.8821369216
56,13184.404482,573864.3089986688,0.0,0.0,0,7658.189253100142,7658.189253100142,0,0.0,0.0,0,566206.1197455686,58944.12963699842,58944.12963699842,0,0.0,553711.0106110129,507261.9901085702
57,14533.329275999999,583679.1242371595,0.0,0.0,0,6921.387632637662,6921.387632637662,0,0.0,0.0,0,576757.7366045219,56080.10792857342,56080.10792857342,0,0.0,497630.9026824395,520677.6286759484
58,0,575444.8448669192,0.0,0.0,0,6220.3862835304935,6220.3862835304935,0,0.0,0.0,0,569224.4585833887,49749.76195299962,49749.76195299962,0,0.0,447881.14072943985,519474.6966303891
59,3444.873516,572565.3858666552,0.0,0.0,0,5598.514259117997,5598.514259117997,0,0.0,0.0,0,566966.8716075371,45348.26168438555,45348.26168438555,0,0.0,402532.8790450543,521618.6099231516
60,0,567309.2037572984,0.0,0.0,0,5031.660988063179,5031.660988063179,0,0.0,0.0,0,562277.5427692352,42026.13430871161,42026.13430871161,0,0.0,360506.7447363427,520251.4084605236
61,0,561326.7599827898,0.0,0.0,0,4506.334309204283,4506.334309204283,0,0.0,0.0,0,556820.4256735855,37995.749118162275,37995.749118162275,0,0.0,322510.99561818043,518824.67655542324
62,9453.362928,565331.6530648692,0.0,0.0,0,4031.3874452272553,4031.3874452272553,0,0.0,0.0,0,561300.265619642,34500.07041148188,34500.07041148188,0,0.0,288010.92520669854,526800.1952081601
63,0,558916.574077442,0.0,0.0,0,3600.136565083732,3600.136565083732,0,0.0,0.0,0,555316.4375123583,30041.200867777265,30041.200867777265,0,0.0,257969.72433892128,525275.2366445811
64,7176.512315999999,560693.4384327506,0.0,0.0,0,3224.6215542365157,3224.6215542365157,0,0.0,0.0,0,557468.8168785141,26612.94320090697,26612.94320090697,0,0.0,231356.7811380143,530855.8736776072
65,5692.7937954,559371.6336459056,0.0,0.0,0,2891.959764225179,2891.959764225179,0,0.0,0.0,0,556479.6738816805,21562.447091238435,21562.447091238435,0,0.0,209794.33404677588,534917.226790442
66,0,554850.8646958875,0.0,0.0,0,2622.4291755846984,2622.4291755846984,0,0.0,0.0,0,552228.4355203029,18971.571744232988,18971.571744232988,0,0.0,190822.7623025429,533256.8637760698
67,0,549484.7236947345,0.0,0.0,0,2385.284528781786,2385.284528781786,0,0.0,0.0,0,547099.4391659528,15527.48068242221,15527.48068242221,0,0.0,175295.2816201207,531571.9584835307
68,0,546482.258809669,0.0,0.0,0,2191.1910202515087,2191.1910202515087,0,0.0,0.0,0,544291.0677894175,14424.330206292052,14424.330206292052,0,0.0,160870.95141382865,529866.7375831254
69,0,538531.7564318615,0.0,0.0,0,2010.886892672858,2010.886892672858,0,0.0,0.0,0,536520.8695391887,8379.206268687396,8379.206268687396,0,0.0,152491.74514514126,528141.6632705013
70,0,535002.7588726738,0.0,0.0,0,1906.1468143142656,1906.1468143142656,0,0.0,0.0,0,533096.6120583595,6689.443498626224,6689.443498626224,0,0.0,145802.30164651503,526407.1685597333
71,0,532283.8433430669,0.0,0.0,0,1822.5287705814378,1822.5287705814378,0,0.0,0.0,0,530461.3145724854,5796.783003279402,5796.783003279402,0,0.0,140005.5186432356,524664.531569206
